"Player","Team","Positions","IP","K","SV","BS","HD","ERA","WHIP","ER","H","BB","HR","G","W","L","Rost%"
"Bruce Zimmermann","MIL","SP,RP","8.7","8","0","0","1","4.41","1.31","4","9","2","1","5","0","0","0%"
"Sam Bachman","LAA","SP","33.4","26","0","0","2","4.64","1.44","17","33","15","4","30","2","2","0%"
"Steven Wilson","CWS","RP","36.3","36","0","0","2","4.82","1.40","19","32","19","6","35","2","2","0%"
"Josh Fleming","SEA","RP","18.1","11","0","0","1","4.21","1.35","8","19","5","2","12","1","1","0%"
"Albert Abreu","CIN","RP","16.8","16","0","0","1","4.84","1.49","9","16","9","2","16","1","1","0%"
"Tim Hill","NYY","RP","62.5","36","0","0","10","4.15","1.38","29","68","19","6","60","3","2","0%"
"Chris Flexen","CHC","SP","20.9","17","0","0","1","4.68","1.41","11","22","7","3","13","1","1","0%"
"Jimmy Lambert","","SP","15.3","15","0","0","0","5.11","1.50","9","15","8","3","13","1","1","0%"
"Ryder Ryan","PIT","RP","15.3","12","0","0","0","5.10","1.49","9","16","7","3","14","1","1","0%"
"Cody Bolton","SEA","RP","32.2","31","0","0","1","4.06","1.34","15","29","14","4","30","1","2","0%"
"Scott McGough","ARI","RP","21.0","20","0","0","2","4.61","1.43","11","20","10","3","20","1","1","0%"
"Xzavion Curry","MIA","SP,RP","24.3","18","0","0","1","4.94","1.38","13","26","8","5","19","1","2","0%"
"Kirby Snead","","RP","7.8","6","0","0","0","4.52","1.49","4","8","3","1","7","0","0","0%"
"Burch Smith","PIT","RP","25.3","21","0","0","1","4.50","1.37","13","25","9","3","22","1","1","0%"
"Amos Willingham","ATL","RP","33.6","29","0","0","1","4.47","1.39","17","34","13","5","32","2","2","0%"
"Parker Mushinski","CLE","RP","14.4","13","0","0","1","4.46","1.42","7","14","7","1","13","0","1","0%"
"Carlos Hernandez","KC","RP","44.3","43","0","1","2","4.38","1.35","22","41","19","5","41","2","2","0%"
"Bailey Horn","DET","RP","14.6","14","0","0","1","4.73","1.50","8","14","8","2","14","1","1","0%"
"Connor Gillispie","MIA","SP,RP","37.5","32","0","0","1","4.64","1.39","19","37","15","6","33","2","2","0%"
