"Player","Team","Positions","IP","K","SV","BS","HD","ERA","WHIP","ER","H","BB","HR","G","W","L","Rost%"
"Spencer Bivens","SF","RP","40.6","31","0","0","2","4.13","1.34","19","41","14","5","35","2","2","0%"
"Alex Faedo","TB","SP,RP","58.0","56","0","0","10","4.33","1.30","28","53","22","9","46","3","3","0%"
"Drew Smyly","","RP","42.6","41","0","0","2","4.29","1.30","20","41","15","7","36","2","3","0%"
"Pedro Avila","","RP","49.7","47","0","0","0","4.45","1.38","25","46","23","6","28","3","2","0%"
"Kyle Nelson","ARI","RP","29.5","29","0","0","2","4.07","1.29","13","27","11","4","29","2","1","0%"
"Adam Ottavino","BOS","RP","39.9","42","0","0","3","4.11","1.30","18","36","17","4","39","2","2","0%"
"Sam Hentges","CLE","RP","22.6","23","0","0","2","3.86","1.29","10","20","9","2","21","1","1","0%"
"Randy Rodriguez","SF","RP","52.2","52","0","0","7","4.06","1.35","24","46","24","6","46","2","3","0%"
"Daniel Palencia","CHC","RP","35.1","40","0","0","2","3.91","1.34","15","29","18","4","32","2","2","0%"
"Franco Aleman","CLE","RP","23.3","24","0","0","2","3.95","1.29","10","21","9","3","23","2","1","0%"
"Ron Marinaccio","SD","RP","36.7","37","0","0","2","4.14","1.33","17","31","17","5","35","2","2","0%"
"Fraser Ellard","CWS","RP","58.9","58","3","1","11","4.17","1.41","27","54","29","7","57","3","4","0%"
"Colin Selby","BAL","RP","36.6","38","0","0","1","3.87","1.34","16","32","17","4","35","2","2","0%"
"Scott Alexander","COL","RP","53.4","40","1","0","8","4.05","1.35","24","55","17","5","52","3","3","0%"
"Brent Suter","CIN","RP","61.1","48","0","0","8","4.39","1.34","30","64","18","9","56","2","3","0%"
"Bennett Sousa","HOU","RP","30.8","31","0","0","1","3.95","1.32","14","28","12","4","30","2","2","0%"
"Josh Winckowski","BOS","SP,RP","48.2","40","0","1","4","4.02","1.34","21","49","16","5","41","2","3","0%"
"Zack Kelly","BOS","RP","33.5","35","0","0","2","4.12","1.36","15","29","16","4","31","2","2","0%"
"Buck Farmer","ATL","RP","52.1","51","0","0","5","4.25","1.33","25","47","22","7","49","3","2","0%"
"Andrew Misiaszek","CLE","","29.7","30","0","0","2","3.94","1.34","13","27","13","4","29","2","1","0%"
"Austin Voth","","RP","52.7","50","0","0","2","4.44","1.29","26","50","18","8","47","2","3","0%"
"Penn Murfee","CWS","SP","44.7","43","0","0","6","4.08","1.30","20","41","17","6","44","2","2","0%"
"Brooks Raley","","RP","21.7","22","1","0","2","3.93","1.29","9","19","9","2","22","1","1","0%"
"Chase Lee","DET","","18.1","17","0","0","1","3.61","1.24","7","16","6","2","18","1","1","0%"
"Huascar Brazoban","NYM","RP","44.6","46","0","1","3","4.01","1.34","20","39","21","5","41","2","2","0%"
"Daniel Robert","TEX","RP","31.1","32","0","0","1","4.18","1.30","14","28","13","4","29","2","2","0%"
"Kevin Herget","NYM","RP","30.3","27","0","0","2","4.09","1.23","14","29","8","4","26","2","2","0%"
"Domingo Gonzalez","ATL","","35.6","37","0","0","2","4.17","1.34","17","32","15","4","33","2","2","0%"
"Trevor McDonald","SF","SP","31.7","25","0","0","1","3.98","1.33","14","31","11","3","27","2","2","0%"
"Nick Hernandez","HOU","RP","39.8","42","0","0","2","4.21","1.28","19","35","16","6","36","2","2","0%"
"Hunter Stratton","PIT","RP","21.7","20","0","0","2","4.14","1.33","10","20","9","2","20","1","1","0%"
"Michael Kelly","ATH","RP","21.3","20","0","0","2","4.31","1.35","10","20","9","3","20","1","1","0%"
"JT Chargois","TEX","RP","21.0","19","0","0","1","4.12","1.29","10","19","8","3","20","1","1","0%"
"Enoli Paredes","ATL","RP","21.2","23","0","0","1","3.66","1.29","9","16","12","2","17","1","1","0%"
"Michael Fulmer","BOS","RP","52.6","52","0","1","8","4.18","1.35","24","49","22","6","51","3","3","0%"
"Seth Martinez","MIA","RP","45.8","39","0","0","2","4.16","1.33","21","43","18","6","42","2","2","0%"
"Justin Sterner","ATH","RP","43.5","43","0","0","5","4.34","1.31","21","40","17","7","40","2","2","0%"
"Eiberson Castellano","MIN","RP","31.2","30","0","0","2","4.24","1.33","15","30","12","4","28","2","2","0%"
"Luis Contreras","HOU","RP","35.4","35","0","0","1","4.21","1.32","17","32","15","5","33","2","2","0%"
"Jose Ruiz","PHI","RP","59.3","58","0","0","10","4.29","1.33","28","55","23","8","56","3","3","0%"
"Jack Dreyer","LAD","","29.7","30","0","0","1","4.09","1.32","13","27","12","4","30","2","2","0%"
"Jacob Lopez","ATH","SP","27.1","26","0","0","1","4.10","1.31","12","24","12","3","23","1","1","0%"
"Kody Funderburk","MIN","RP","45.8","46","0","0","3","3.84","1.34","20","42","19","4","41","2","2","0%"
"Jesse Chavez","TEX","RP","32.4","29","0","0","2","4.22","1.31","15","32","11","5","28","1","2","0%"
"Evan Sisk","KC","RP","30.7","29","0","0","1","3.87","1.39","13","28","15","2","30","2","2","0%"
"Brendon Little","TOR","RP","57.7","50","0","1","11","3.83","1.38","25","54","26","5","56","3","3","0%"
"Sean Reid-Foley","NYM","RP","28.3","31","0","0","3","4.04","1.41","13","24","16","3","26","1","1","0%"
"Mason Fluharty","TOR","","22.2","21","0","0","1","4.12","1.31","10","21","8","3","22","1","1","0%"
"Kyle Amendt","ARI","","14.7","17","0","0","1","3.92","1.37","6","13","7","2","15","1","1","0%"
"Declan Cronin","MIA","RP","66.9","58","1","0","12","4.03","1.39","30","67","26","6","62","3","3","0%"
"Cam Booser","CWS","RP","51.1","53","1","0","6","4.36","1.39","25","47","24","7","49","2","3","0%"
"Ryan Borucki","PIT","RP","27.5","27","0","0","1","4.14","1.33","13","26","11","4","27","1","1","0%"
"Cole Sulser","TB","RP","28.0","27","0","0","2","4.18","1.34","13","26","12","4","26","1","1","0%"
"Sam Long","KC","RP","55.1","49","0","0","10","4.26","1.35","26","52","22","7","52","2","3","0%"
"Omar Cruz","SD","RP","21.5","21","0","0","1","4.05","1.34","10","19","9","3","20","1","1","0%"
"Keynan Middleton","","RP","18.4","20","0","0","0","4.09","1.29","8","16","8","2","18","1","1","0%"
"Miguel Castro","HOU","RP","24.6","22","1","0","1","4.36","1.34","12","23","10","3","24","1","1","0%"
"Matt Moore","BOS","RP","31.0","29","0","0","3","4.54","1.40","16","29","14","5","30","2","2","0%"
"Connor Thomas","MIL","RP","43.0","31","0","0","3","4.11","1.33","20","45","12","5","39","2","2","0%"
"Nick Robertson","TOR","RP","39.0","37","0","0","1","4.09","1.33","18","37","15","5","36","2","2","0%"
"Devin Sweet","PHI","RP","23.5","24","0","0","1","4.44","1.33","12","21","10","4","22","1","2","0%"
"Steven Okert","HOU","RP","42.0","45","0","1","6","4.27","1.30","20","37","18","7","42","2","2","0%"
"Luis Guerrero","BOS","RP","43.1","44","0","0","3","4.30","1.40","21","39","21","5","41","2","2","0%"
"Ethan Small","SF","RP","15.2","15","0","0","1","4.05","1.35","7","14","7","2","12","1","1","0%"
"Hunter Strickland","TEX","RP","31.9","27","0","0","2","4.59","1.35","16","30","13","5","31","1","2","0%"
"Ethan Roberts","CHC","RP","30.3","29","0","0","1","4.14","1.33","14","28","12","4","29","1","2","0%"
"Jack Neely","CHC","RP","23.4","26","0","0","1","4.00","1.28","10","21","9","3","23","1","1","0%"
"Josh Walker","TOR","RP","30.3","31","0","0","1","4.05","1.34","14","27","14","4","29","1","1","0%"
"Josh Simpson","MIA","RP","35.1","37","0","0","1","4.08","1.40","16","32","17","4","34","2","2","0%"
"Alek Jacob","SD","RP","41.2","39","0","0","1","4.22","1.33","19","39","16","6","36","2","2","0%"
"Justin Hagenman","NYM","RP","16.9","15","0","0","1","4.53","1.33","9","17","6","3","16","1","1","0%"
"Luis Curvelo","TEX","RP","20.8","19","0","0","1","4.39","1.30","10","19","8","3","20","1","1","0%"
"Yoendrys Gomez","NYY","SP,RP","38.1","36","0","0","3","4.44","1.34","19","34","17","6","30","2","2","0%"
"Tommy Nance","TOR","RP","48.3","44","0","0","7","4.14","1.33","22","47","18","6","46","2","3","0%"
"Jacob Waguespack","TB","SP,RP","40.3","41","0","0","1","4.15","1.35","19","38","16","5","31","2","2","0%"
"Trevor Gott","SEA","RP","14.0","13","0","0","1","4.11","1.25","6","13","4","2","14","1","1","0%"
"Trevor Richards","CHC","RP","26.6","29","0","0","2","4.40","1.33","13","23","12","4","25","1","1","0%"
"Matt Gage","DET","RP","17.9","18","0","0","0","4.07","1.32","8","16","8","2","14","1","1","0%"
"Zach Agnos","COL","","26.6","23","0","0","1","4.72","1.36","14","27","9","4","26","2","2","0%"
"Francis Pena","SD","","23.3","20","0","0","1","4.21","1.37","11","23","9","3","23","1","1","0%"
"Dillon Tate","TOR","RP","35.5","27","0","0","2","4.08","1.29","16","35","11","4","33","2","2","0%"
"Michael Petersen","LAA","RP","36.2","35","0","0","1","4.44","1.35","18","33","16","5","35","2","2","0%"
"Austin Davis","SD","RP","13.6","15","0","0","0","3.96","1.34","6","11","7","1","13","1","1","0%"
"Anthony Misiewicz","MIN","RP","32.2","31","0","0","1","4.34","1.35","16","32","11","4","31","2","2","0%"
"Justin Wilson","BOS","RP","55.4","57","0","0","9","4.28","1.34","26","55","19","8","56","2","3","0%"
"Andrew Wantz","TB","SP,RP","9.9","10","0","0","0","4.50","1.32","5","9","4","2","7","0","0","0%"
"Lou Trivino","SF","RP","45.9","44","0","0","7","4.24","1.37","22","44","19","5","42","3","3","0%"
"Brandon Eisert","CWS","RP","23.8","22","0","0","1","4.04","1.31","11","23","9","3","21","1","1","0%"
"Nate Lavender","TB","RP","23.0","25","0","0","1","4.33","1.44","11","20","13","3","23","1","1","0%"
"Dany Jimenez","ATL","RP","17.8","19","1","0","1","4.72","1.40","9","15","10","3","17","1","1","0%"
"Jacob Barnes","TOR","RP","39.1","34","0","0","1","4.41","1.31","19","38","13","6","36","2","2","0%"
"Zack Thompson","STL","SP","34.4","34","0","0","2","4.22","1.39","16","31","16","4","30","2","2","0%"
"Drew Pomeranz","SEA","RP","14.6","15","0","0","1","3.89","1.28","6","13","6","2","14","0","1","0%"
"Drew Smith","NYM","RP","14.4","15","0","0","3","4.26","1.31","7","13","6","2","14","1","1","0%"
"Riley O'Brien","STL","RP","44.6","45","0","0","2","4.11","1.41","20","40","22","5","41","2","2","0%"
"Jay Jackson","","RP","19.4","20","0","0","0","4.34","1.26","9","18","6","3","16","1","1","0%"
"Huascar Ynoa","MIN","SP,RP","18.7","18","0","0","1","4.46","1.39","9","18","8","3","18","1","1","0%"
"Hayden Harris","ATL","","19.2","21","0","0","1","4.02","1.38","9","17","9","2","20","1","1","0%"
"Mason Englert","TB","RP","41.2","38","0","0","1","4.32","1.28","20","40","13","6","35","2","2","0%"
"Anderson Pilar","ATL","RP","16.8","15","0","0","1","4.13","1.32","8","16","6","2","16","1","1","0%"
"Michael Flynn","TB","RP","19.6","21","0","0","0","4.77","1.32","10","18","8","3","18","1","1","0%"
"Kelvin Caceres","LAA","RP","11.1","13","0","0","0","3.93","1.36","5","9","6","1","9","0","0","0%"
"Logan VanWey","HOU","","32.1","33","0","0","1","4.12","1.40","15","29","16","4","32","2","2","0%"
"Vince Velasquez","CLE","SP","17.8","17","0","0","1","4.33","1.32","9","17","7","3","12","1","1","0%"
"Blake Weiman","HOU","RP","11.2","10","0","0","1","4.37","1.29","5","11","3","2","11","1","1","0%"
"Jose Cisnero","","RP","22.2","24","0","0","0","4.34","1.38","11","20","11","3","21","1","1","0%"
"Eric Orze","TB","RP","39.8","42","0","0","3","4.13","1.35","18","36","18","5","39","2","2","0%"
"Joe La Sorsa","CIN","RP","19.3","14","0","0","0","4.16","1.23","9","19","5","3","16","1","1","0%"
"Nick Vespi","PHI","RP","16.8","15","0","0","0","4.31","1.37","8","15","8","2","16","1","0","0%"
"Shawn Dubin","HOU","RP","28.0","29","0","0","1","4.08","1.39","13","25","14","3","25","1","1","0%"
"Jordan Balazovic","DET","RP","8.6","7","0","0","1","4.23","1.39","4","8","4","1","7","0","0","0%"
"Ronny Henriquez","MIA","RP","46.7","40","0","0","5","4.24","1.36","22","47","16","6","41","2","2","0%"
"Peter Strzelecki","PIT","RP","26.8","24","0","0","2","4.43","1.36","13","26","10","3","26","1","1","0%"
"Tyler Mattison","DET","SP,RP","18.0","18","0","0","1","4.19","1.34","8","16","8","2","18","1","1","0%"
"Vinny Nittoli","MIL","RP","20.1","21","0","0","1","4.60","1.28","10","18","8","4","16","1","1","0%"
"Ricky Vanasco","DET","RP","14.0","14","0","0","1","4.76","1.60","7","12","10","1","14","1","1","0%"
"Ryan Miller","DET","RP","22.0","19","0","0","0","4.43","1.29","11","21","7","3","20","1","1","0%"
"Ian Gibaut","CIN","RP","20.1","19","0","0","1","4.73","1.45","11","19","10","3","19","1","1","0%"
"Andrew Saalfrank","ARI","RP","22.6","21","0","0","1","3.84","1.42","10","21","11","2","22","1","1","0%"
"Shintaro Fujinami","SEA","RP","25.7","28","0","0","1","4.32","1.40","12","21","15","3","25","1","1","0%"
"Jake Diekman","ATL","RP","39.9","46","0","0","2","4.26","1.43","19","33","24","5","39","2","2","0%"
"Nabil Crismatt","PHI","SP,RP","11.7","10","0","0","0","4.71","1.36","6","12","4","2","11","1","1","0%"
"Austin Warren","NYM","RP","14.4","13","0","0","1","4.28","1.36","7","14","6","2","13","1","1","0%"
"Alan Rangel","PHI","SP,RP","21.2","19","0","0","1","4.69","1.35","11","21","8","3","20","1","1","0%"
"Joely Rodriguez","","RP","25.7","22","0","0","2","4.13","1.40","12","26","10","3","25","1","1","0%"
"Phil Bickford","CHC","RP","24.0","26","0","0","0","4.36","1.25","12","21","9","3","21","1","1","0%"
"Grant Wolfram","MIL","RP","21.5","21","0","0","1","4.33","1.42","10","20","11","2","21","1","1","0%"
"Rafael Montero","HOU","RP","46.1","43","1","0","5","4.44","1.38","23","44","19","6","44","2","2","0%"
