East Bay Hackers,,
NO.,PLAYER,ROUND
211,"Kyle Finnegan Wsh, RP",18
222,"Shota Imanaga ChC, SP",19
235,"Lars Nootbaar StL, CF",20
246,"Triston McKenzie Cle, SP",21
259,"LaMonte Wade Jr. SF, 1B",22
270,"Bo Naylor Cle, C",23
283,"Brandon Lowe TB, 2B",24
MJ 2.0,,
NO.,PLAYER,ROUND
8,"Mookie Betts LAD, RF",1
17,"Pete Alonso NYM, 1B",2
32,"Zac Gallen Ari, SP",3
41,"Adolis Garcia Tex, RF",4
56,"Sean Murphy Atl, C",5
65,"Marcell Ozuna Atl, DH",6
80,"Blake Snell FA, SP",7
89,"Chris Bassitt Tor, SP",8
104,"Max Muncy LAD, 3B",9
113,"Tanner Scott Mia, RP",10
128,"Thairo Estrada SF, 2B",11
137,"Yennier Cano Bal, RP",12
152,"Kodai Senga NYM, SP",13
161,"Justin Turner Tor, 1B",14
176,"Willi Castro Min, LF",15
185,"Tyler Rogers SF, RP",16
200,"Whit Merrifield Phi, 2B",17
209,"Jose Alvarado Phi, RP",18
224,"Gabriel Moreno Ari, C",19
233,"Kyle Gibson StL, SP",20
248,"Jeff McNeil NYM, 2B",21
257,"Chase DeLauter Cle, CF",22
272,"Austin Hays Bal, LF",23
281,"Luis Rengifo LAA, 2B",24
The JROD Show,,
NO.,PLAYER,ROUND
7,"Julio Rodriguez Sea, CF",1
18,"Aaron Judge NYY, RF",2
31,"Luis Castillo Sea, SP",3
42,"Royce Lewis Min, 3B",4
55,"Emmanuel Clase Cle, RP",5
66,"CJ Abrams Wsh, SS",6
79,"Zach Eflin TB, SP",7
90,"Gleyber Torres NYY, 2B",8
103,"Teoscar Hernandez LAD, RF",9
114,"Spencer Torkelson Det, 1B",10
127,"Ryan Helsley StL, RP",11
138,"Salvador Perez KC, C",12
151,"Ian Happ ChC, LF",13
162,"Bailey Ober Min, SP",14
175,"Willy Adames Mil, SS",15
186,"Daulton Varsho Tor, LF",16
199,"Yuki Matsui SD, RP",17
210,"Bryan Woo Sea, SP",18
223,"Braxton Garrett Mia, SP",19
234,"Bryan Abreu Hou, RP",20
247,"Jeremy Pena Hou, SS",21
258,"Eugenio Suarez Ari, 3B",22
271,"Mason Miller Oak, SP",23
282,"Nelson Velazquez KC, RF",24
Amateur 2.0,,
NO.,PLAYER,ROUND
2,"Shohei Ohtani LAD, DH",1
23,"Corbin Burnes Bal, SP",2
26,"Kevin Gausman Tor, SP",3
47,"Adley Rutschman Bal, C",4
50,"Camilo Doval SF, RP",5
71,"Nico Hoerner ChC, 2B",6
74,"Christian Yelich Mil, LF",7
95,"Shane Bieber Cle, SP",8
98,"Xander Bogaerts SD, SS",9
119,"Clay Holmes NYY, RP",10
122,"Esteury Ruiz Oak, CF",11
143,"Jake Burger Mia, 3B",12
146,"Mitch Keller Pit, SP",13
167,"Hector Neris ChC, RP",14
170,"Jarren Duran Bos, CF",15
191,"Yu Darvish SD, SP",16
194,"Anthony Rizzo NYY, 1B",17
215,"Hunter Brown Hou, SP",18
218,"Nathaniel Lowe Tex, 1B",19
239,"Kerry Carpenter Det, RF",20
242,"J.P. Crawford Sea, SS",21
263,"Ryan Mountcastle Bal, 1B",22
266,"Jorge Polanco Sea, 2B",23
287,"Andrew Benintendi ChW, LF",24
Inglorious Batters,,
NO.,PLAYER,ROUND
12,"Matt Olson Atl, 1B",1
13,"Trea Turner Phi, SS",2
36,"Randy Arozarena TB, LF",3
37,"Elly De La Cruz Cin, SS",4
60,"Freddy Peralta Mil, SP",5
61,"Tyler Glasnow LAD, SP",6
84,"Nick Castellanos Phi, RF",7
85,"Bryan Reynolds Pit, LF",8
108,"Bryson Stott Phi, 2B",9
109,"Jorge Soler SF, RF",10
132,"Pete Fairbanks TB, RP",11
133,"Anthony Santander Bal, RF",12
156,"Hunter Greene Cin, SP",13
157,"Rhys Hoskins Mil, 1B",14
180,"Vinnie Pasquantino KC, 1B",15
181,"Walker Buehler LAD, SP",16
204,"Matt Chapman SF, 3B",17
205,"Keibert Ruiz Wsh, C",18
228,"Marcus Stroman NYY, SP",19
229,"Charlie Morton Atl, SP",20
252,"Ryan McMahon Col, 3B",21
253,"Matt Strahm Phi, RP",22
276,"Matt Brash Sea, RP",23
277,"A.J. Minter Atl, RP",24
Fred Lewis T-Shirt Jersey,,
NO.,PLAYER,ROUND
10,"Freddie Freeman LAD, 1B",1
15,"Fernando Tatis Jr. SD, RF",2
34,"Yoshinobu Yamamoto LAD, SP",3
39,"Logan Webb SF, SP",4
58,"Nolan Arenado StL, 3B",5
63,"Logan Gilbert Sea, SP",6
82,"William Contreras Mil, C",7
87,"Raisel Iglesias Atl, RP",8
106,"Josh Lowe TB, RF",9
111,"Seiya Suzuki ChC, RF",10
130,"Josh Jung Tex, 3B",11
135,"Anthony Volpe NYY, SS",12
154,"Andres Gimenez Cle, 2B",13
159,"Craig Kimbrel Bal, RP",14
178,"Justin Verlander Hou, SP",15
183,"Tommy Edman StL, 2B",16
202,"Trevor Story Bos, SS",17
207,"Bryce Miller Sea, SP",18
226,"Carlos Rodon NYY, SP",19
231,"Robert Stephenson LAA, RP",20
250,"Zach Neto LAA, SS",21
255,"Jack Suwinski Pit, CF",22
274,"Jason Adam TB, RP",23
279,"Jonah Heim Tex, C",24
The Friendly Confines,,
NO.,PLAYER,ROUND
11,"Yordan Alvarez Hou, LF",1
14,"Jose Ramirez Cle, 3B",2
35,"Luis Robert Jr. ChW, CF",3
38,"Jose Altuve Hou, 2B",4
59,"Max Fried Atl, SP",5
62,"Cody Bellinger ChC, CF",6
83,"Jhoan Duran Min, RP",7
86,"Jesus Luzardo Mia, SP",8
107,"Dansby Swanson ChC, SS",9
110,"Paul Sewald Ari, RP",10
131,"Tanner Bibee Cle, SP",11
134,"Cedric Mullins Bal, CF",12
155,"TJ Friedl Cin, CF",13
158,"Jackson Merrill SD, SS",14
179,"Ezequiel Tovar Col, SS",15
182,"Gavin Williams Cle, SP",16
203,"Cal Raleigh Sea, C",17
206,"Alex Lange Det, RP",18
227,"Will Smith KC, RP",19
230,"Brandon Pfaadt Ari, SP",20
251,"Bryan De La Cruz Mia, LF",21
254,"Victor Scott II StL, CF",22
275,"Leody Taveras Tex, CF",23
278,"Joey Ortiz Mil, 2B",
