#,Name,Team,Bats,ESPN,YAHOO,G,PA,AB,R,HR,RBI,SB,H,1B,2B,3B,TB,SO,BB,HBP,SF,SH,CS,AVG,OBP,SLG,OPS,BABIP,RazzID
152,Max Kepler,MIN,L,OF,OF,125,489,430,62.2,18.8,63.2,3.2,107.6,64.0,22.9,1.9,190.7,96.6,49.7,5.4,3.8,1.6,1.4,0.250,0.333,0.444,0.777,0.279,12144
153,Brandon Lowe,TB,L,2B,2B,122,488,425,65.6,21.6,63.3,5.0,101.8,57.5,21.2,1.5,190.7,127.9,51.5,6.5,3.5,2.9,1.7,0.239,0.327,0.449,0.776,0.287,664040
154,Salvador Perez,KC,R,C/1B,C/1B,122,487,454,60.2,22.8,73.1,0.5,118.5,76.0,18.9,0.7,207.3,116.9,19.7,8.2,3.4,0.7,0.2,0.261,0.301,0.457,0.758,0.301,7304
155,Alex Verdugo,NYY,L,OF,OF,122,484,436,61.8,12.8,55.9,4.5,116.7,75.7,26.2,1.9,185.2,75.3,36.5,3.9,3.5,2.7,1.9,0.267,0.324,0.425,0.749,0.295,657077
156,Zach Neto,LAA,R,SS,SS,132,481,429,62.7,16.0,56.9,8.5,108.1,67.2,24.0,1.0,182.1,107.8,32.2,12.0,3.7,3.9,2.8,0.252,0.317,0.425,0.742,0.298,687263
157,Willson Contreras,STL,R,C,C,119,477,412,62.5,19.8,63.8,5.0,103.8,61.0,22.2,0.7,187.0,108.8,46.6,12.6,3.8,1.6,2.4,0.252,0.342,0.454,0.796,0.292,11609
158,Jack Suwinski,PIT,L,OF,OF,122,477,408,59.8,21.7,62.6,8.2,91.9,49.8,19.1,1.3,178.9,144.9,60.1,5.2,3.7,1.6,3.4,0.225,0.330,0.439,0.769,0.286,669261
159,Ryan Noda,OAK,L,1B,1B,126,477,392,56.9,16.2,48.0,4.9,82.1,47.8,17.2,1.0,149.8,157.7,68.4,8.2,3.1,3.9,1.7,0.210,0.333,0.382,0.715,0.298,676116
160,J.T. Realmuto,PHI,R,C,C,126,475,428,56.9,17.0,61.1,12.8,107.7,66.3,21.3,3.2,186.3,114.7,35.7,7.9,3.4,1.1,4.1,0.252,0.319,0.436,0.754,0.303,11739
161,Nolan Schanuel,LAA,L,1B,1B,124,475,399,63.7,13.1,51.1,2.6,103.9,70.4,18.6,1.7,165.4,80.3,63.1,6.3,3.4,3.2,1.1,0.261,0.365,0.415,0.780,0.294,694384
162,Tyler O’Neill,BOS,R,OF,OF,121,473,418,58.8,19.8,64.9,10.6,104.1,63.4,19.8,1.1,185.5,130.8,44.3,6.2,3.3,1.1,3.8,0.249,0.327,0.444,0.771,0.312,641933
163,Anthony Rendon,LAA,R,3B,3B,120,467,402,56.9,14.1,58.7,3.0,103.7,65.0,23.6,1.1,171.6,84.7,54.1,6.5,3.2,0.7,1.3,0.258,0.352,0.427,0.779,0.292,12861
164,Will Smith,LAD,R,C,C,116,465,400,63.0,19.9,68.7,1.8,103.5,58.5,23.4,1.7,189.9,80.4,50.7,9.8,3.3,0.7,0.7,0.259,0.353,0.475,0.828,0.276,669257
165,Michael Conforto,SF,L,OF,OF,119,462,399,54.0,14.3,53.1,2.8,99.3,65.5,18.6,0.8,162.4,104.3,51.1,7.5,3.7,1.4,1.2,0.249,0.342,0.407,0.749,0.299,16376
166,Gabriel Moreno,ARI,R,C,C,119,457,410,53.2,10.1,52.9,6.2,117.1,83.6,21.9,1.4,172.3,81.4,36.5,5.2,3.5,1.4,2.6,0.286,0.348,0.420,0.768,0.332,672515
167,Christian Encarnacion-Strand,CIN,R,1B,1B,120,456,412,61.9,24.4,72.9,2.7,112.6,60.6,26.4,1.1,214.6,116.1,32.9,5.5,3.3,2.4,1.1,0.273,0.331,0.521,0.852,0.321,687952
168,Cal Raleigh,SEA,S,C,C,119,455,406,56.8,23.4,66.9,1.0,93.9,45.4,24.2,0.9,190.1,121.0,41.3,3.1,3.6,1.6,0.5,0.231,0.304,0.469,0.773,0.266,663728
169,Michael Massey,KC,L,2B,2B,128,454,415,51.8,13.8,54.2,6.2,105.1,68.0,22.0,1.3,171.0,98.2,26.2,6.0,3.4,2.3,2.4,0.253,0.303,0.412,0.715,0.298,686681
170,Colt Keith,DET,L,3B,3B,124,453,407,52.6,13.1,51.0,2.5,105.9,73.6,16.7,2.5,166.9,99.2,37.3,3.6,3.1,1.7,1.0,0.260,0.325,0.410,0.735,0.312,690993
171,Geraldo Perdomo,ARI,S,2B/SS,2B/SS/ 3B,130,452,386,53.4,6.5,41.4,12.7,93.1,68.3,15.3,3.0,134.1,80.0,53.9,5.1,3.4,3.6,4.2,0.241,0.337,0.348,0.685,0.286,672695
172,Masyn Winn,STL,R,SS,SS,131,452,407,54.5,10.0,48.2,10.6,100.2,68.5,18.9,2.9,154.9,85.0,34.1,3.5,3.5,3.7,3.1,0.246,0.305,0.381,0.686,0.286,691026
173,Luis Garcia,WSH,L,2B,2B,122,448,412,52.8,11.2,52.2,6.8,114.9,75.6,25.0,3.1,179.6,64.8,26.7,2.2,3.5,3.2,3.2,0.279,0.321,0.436,0.757,0.305,671277
174,Jose Siri,TB,R,OF,OF,126,447,410,52.5,18.8,56.4,15.1,90.7,51.7,17.8,2.4,169.5,151.5,27.5,4.4,3.3,2.7,4.6,0.221,0.274,0.414,0.688,0.296,642350
175,Ramon Laureano,CLE,R,OF,OF,116,447,397,49.5,14.0,51.8,11.6,92.0,54.4,21.3,2.3,159.7,122.9,35.7,9.4,3.5,1.4,4.2,0.232,0.307,0.402,0.709,0.296,657656
176,Brett Baty,NYM,L,3B,3B,121,446,398,54.1,16.3,55.7,3.1,98.8,61.4,20.5,0.5,169.4,115.7,39.7,4.0,3.3,2.5,1.4,0.248,0.319,0.425,0.744,0.306,683146
177,Brandon Marsh,PHI,L,OF,OF,127,443,387,52.8,10.8,47.8,9.2,95.7,63.2,18.0,3.7,153.4,135.2,45.7,4.0,3.5,3.2,3.3,0.247,0.328,0.397,0.725,0.347,669016
178,Keibert Ruiz,WSH,S,C,C,116,441,402,51.4,14.3,57.3,2.7,108.9,70.3,23.8,0.5,176.6,48.3,29.8,4.9,3.1,1.6,1.1,0.271,0.325,0.440,0.765,0.276,660688
179,Josh Lowe,TB,L,OF,OF,112,441,397,54.6,14.7,55.8,18.3,102.2,60.4,25.3,1.8,175.1,121.6,37.0,2.6,3.2,2.1,5.1,0.257,0.321,0.441,0.762,0.331,666139
180,Vaughn Grissom,BOS,R,SS,SS,120,441,391,54.8,8.6,50.1,7.7,111.9,78.3,22.6,2.4,165.3,71.9,36.2,7.3,3.2,2.7,2.9,0.286,0.352,0.422,0.775,0.329,687093
181,Alek Thomas,ARI,L,OF,OF,122,440,400,51.1,11.2,50.7,7.7,104.2,71.2,17.6,4.2,163.8,84.7,28.8,4.4,3.5,3.2,3.3,0.260,0.313,0.410,0.723,0.303,677950
182,Francisco Alvarez,NYM,R,C,C,116,440,389,56.3,23.6,64.6,2.0,89.9,49.8,15.9,0.6,177.7,110.6,43.4,5.7,3.1,1.3,0.9,0.231,0.316,0.457,0.773,0.257,682626
183,Willi Castro,MIN,S,3B/OF,2B/3B/ OF,120,439,398,52.2,10.4,46.7,20.4,99.9,65.7,20.6,3.2,158.1,102.7,28.7,7.9,3.2,2.4,7.0,0.251,0.310,0.397,0.708,0.310,650489
184,Seth Brown,OAK,L,OF,1B/OF,118,438,394,49.9,17.8,56.5,4.9,91.7,52.4,20.0,1.6,168.2,120.2,36.6,3.1,3.0,0.8,2.0,0.233,0.300,0.427,0.727,0.286,664913
185,Sean Murphy,ATL,R,C,C,112,438,378,59.1,18.0,62.5,0.9,94.6,54.7,21.1,0.8,171.3,98.0,44.8,10.4,3.2,1.9,0.4,0.251,0.342,0.453,0.795,0.289,669221
186,Javier Baez,DET,R,SS,SS,121,437,403,46.8,13.1,49.7,7.7,97.2,64.9,16.4,2.9,158.6,109.5,21.6,6.6,3.2,2.0,2.6,0.241,0.287,0.394,0.680,0.296,12979
187,Jake Fraley,CIN,L,OF,OF,116,436,377,57.3,17.5,56.6,15.6,94.7,56.1,20.7,0.5,168.9,95.6,49.2,5.3,3.0,1.1,5.8,0.251,0.342,0.447,0.790,0.289,641584
188,Mark Canha,DET,R,OF,1B/OF,113,435,373,52.2,11.2,46.7,5.7,96.2,66.4,17.5,1.1,149.5,76.4,42.5,14.1,3.4,1.7,2.0,0.258,0.351,0.401,0.752,0.294,11445
189,Andrew McCutchen,PIT,R,DH,OF,110,434,373,51.4,12.3,47.7,7.0,90.8,60.8,17.2,0.6,146.1,95.5,54.6,3.8,3.0,1.0,2.9,0.243,0.344,0.392,0.736,0.293,9847
190,Jonah Heim,TEX,S,C,C,119,433,392,52.8,15.7,55.8,2.1,97.9,58.8,22.9,0.6,169.1,84.0,34.9,2.5,3.4,1.5,0.9,0.250,0.313,0.432,0.745,0.279,16930
191,Mitch Haniger,SEA,R,OF,OF,114,430,386,50.3,18.1,56.9,1.7,90.5,51.2,20.2,0.9,166.9,112.2,33.9,5.7,3.0,1.5,0.7,0.234,0.302,0.432,0.734,0.280,14274
192,LaMonte Wade Jr.,SF,L,1B/OF,1B/OF,112,429,365,54.2,14.3,47.6,2.3,88.6,57.4,15.1,1.7,150.0,86.9,53.9,5.7,3.1,1.8,0.9,0.242,0.346,0.411,0.757,0.278,664774
193,Brice Turang,MIL,L,2B/SS,2B/SS,122,427,379,47.1,8.4,42.2,17.2,93.8,66.5,16.5,2.3,140.3,82.5,40.1,2.1,3.3,3.3,5.0,0.247,0.319,0.371,0.690,0.293,668930
194,Yainer Diaz,HOU,R,C,C/1B,112,427,398,56.3,21.4,67.9,1.4,108.6,64.8,21.4,0.9,196.0,80.7,19.6,4.2,3.0,1.8,0.6,0.273,0.310,0.493,0.803,0.292,673237
195,Lars Nootbaar,STL,L,OF,OF,105,426,359,56.2,14.4,50.9,7.0,91.6,58.2,17.6,1.4,155.0,87.1,56.9,2.6,3.0,3.0,2.6,0.255,0.355,0.432,0.787,0.296,663457
196,Jarred Kelenic,ATL,L,OF,OF,118,426,376,56.6,15.5,57.1,11.2,92.6,52.6,22.6,1.8,165.5,113.6,41.2,3.4,3.4,2.8,4.7,0.247,0.322,0.440,0.762,0.308,672284
197,Giancarlo Stanton,NYY,R,OF,OF,110,424,373,56.5,25.7,67.1,0.8,86.6,47.4,12.9,0.5,177.7,125.1,43.3,2.6,2.9,1.3,0.3,0.233,0.312,0.477,0.789,0.271,4949
198,Nelson Velazquez,KC,R,OF,OF,115,423,379,50.7,19.0,57.7,6.5,90.1,53.4,16.4,1.3,166.0,123.0,33.0,4.4,3.2,2.3,2.5,0.237,0.301,0.437,0.738,0.296,676369
199,Garrett Mitchell,MIL,L,OF,OF,111,422,373,50.2,10.9,41.4,14.2,89.1,59.1,16.2,2.9,143.8,122.5,38.4,4.2,2.7,3.9,4.3,0.239,0.313,0.385,0.697,0.322,669003
200,Hunter Renfroe,KC,R,OF,1B/OF,112,420,379,51.0,18.0,59.1,1.2,95.4,57.2,19.5,0.6,170.2,92.0,32.6,3.0,3.0,1.5,0.5,0.252,0.312,0.449,0.760,0.284,15464
201,Tommy Pham,FA,R,OF,OF,114,419,370,51.1,13.3,48.2,11.8,91.2,58.3,18.0,1.6,152.3,100.9,40.9,3.7,3.1,1.6,3.5,0.247,0.324,0.412,0.736,0.301,2967
202,J.D. Davis,OAK,R,3B,1B/3B,114,417,364,45.4,12.8,46.4,1.3,86.3,54.3,18.3,0.8,144.6,124.3,42.5,5.9,3.3,1.3,0.5,0.237,0.323,0.397,0.719,0.319,16219
203,JJ Bleday,OAK,L,OF,OF,112,417,356,47.3,13.6,44.8,4.8,76.3,44.6,16.7,1.4,136.6,106.1,53.6,3.3,2.9,1.6,2.0,0.214,0.319,0.384,0.703,0.263,668709
204,Leody Taveras,TEX,S,OF,OF,121,415,377,53.1,12.1,51.1,12.4,99.0,62.6,22.3,2.1,161.7,91.2,30.7,2.4,3.1,2.6,4.2,0.263,0.318,0.429,0.747,0.314,665750
205,Gavin Lux,LAD,L,2B/OF,2B/OF,118,415,363,52.6,9.7,48.5,8.3,96.6,63.4,20.1,3.4,152.5,81.7,41.3,2.9,3.2,3.2,2.6,0.266,0.339,0.420,0.759,0.316,666158
206,Mickey Moniak,LAA,L,OF,OF,112,415,385,50.3,15.5,49.6,6.5,90.3,53.5,17.8,3.4,161.4,129.8,20.0,4.2,3.0,2.4,2.7,0.234,0.276,0.419,0.695,0.308,666160
207,Mike Yastrzemski,SF,L,OF,OF,109,414,360,49.4,14.5,47.9,3.5,84.0,48.5,19.9,1.3,149.8,107.6,44.5,4.6,3.0,2.3,1.5,0.233,0.322,0.416,0.738,0.289,573262
208,Luis Campusano,SD,R,C,C,111,414,375,48.1,14.5,52.9,1.4,98.9,65.2,18.1,1.1,162.9,73.2,29.0,4.7,3.1,2.3,0.6,0.264,0.321,0.434,0.755,0.291,669134
209,Nick Senzel,WSH,R,3B/OF,3B/OF,111,413,370,43.9,9.6,42.1,7.9,88.8,60.2,18.0,1.0,137.4,82.4,32.5,4.3,3.0,2.3,3.3,0.240,0.304,0.371,0.675,0.281,669222
210,Jake Meyers,HOU,R,OF,OF,119,413,369,49.9,11.3,47.2,7.0,87.5,56.7,17.9,1.6,142.5,108.0,32.5,5.5,3.2,3.2,2.4,0.237,0.304,0.386,0.690,0.301,676694
211,Logan O’Hoppe,LAA,R,C,C,111,413,363,53.5,20.0,59.6,2.9,91.9,54.7,16.3,0.9,170.1,85.0,37.5,5.5,3.3,3.1,1.3,0.253,0.327,0.468,0.795,0.275,681351
212,Cavan Biggio,TOR,L,1B/2B/ OF,1B/2B/ 3B/OF,114,410,347,47.3,9.7,41.1,6.1,79.4,51.2,17.7,0.8,127.7,107.6,50.2,5.8,3.2,3.0,1.7,0.228,0.330,0.368,0.698,0.299,624415
213,Matt Wallner,MIN,L,OF,OF,115,410,353,51.0,15.1,49.9,2.6,83.1,46.5,19.7,1.8,151.6,134.8,45.0,9.1,3.0,2.3,1.1,0.236,0.335,0.430,0.765,0.331,670242
214,Ceddanne Rafaela,BOS,R,OF,SS/OF,116,408,379,52.0,12.1,48.4,14.5,97.2,61.8,21.1,2.2,158.9,91.6,18.5,4.9,3.0,2.3,5.7,0.257,0.296,0.420,0.716,0.306,678882
215,Brenton Doyle,COL,R,OF,OF,122,408,375,46.9,12.3,45.2,15.9,87.3,58.3,13.7,3.0,143.8,133.7,21.5,3.6,3.2,3.2,4.8,0.232,0.275,0.383,0.658,0.322,686668
216,Esteury Ruiz,OAK,R,OF,OF,113,406,363,46.5,7.3,36.4,39.7,89.4,60.2,20.5,1.4,134.8,83.5,26.0,10.1,3.1,3.3,11.1,0.246,0.309,0.371,0.681,0.298,665923
217,Joc Pederson,ARI,L,OF,OF,111,405,353,51.3,16.8,53.0,1.7,89.8,57.9,12.5,2.6,157.9,91.9,42.2,6.2,3.1,1.4,0.8,0.255,0.340,0.448,0.788,0.295,11899
218,Bo Naylor,CLE,L,C,C,112,405,343,49.1,15.3,48.9,5.8,79.3,43.2,19.8,1.0,147.1,94.1,52.8,4.0,2.8,1.9,2.2,0.231,0.336,0.429,0.765,0.270,666310
219,Jordan Westburg,BAL,R,2B/3B,2B/3B,115,403,358,48.6,12.0,47.9,5.9,90.9,57.7,19.1,2.0,150.1,95.5,33.3,4.5,3.1,3.1,1.9,0.254,0.319,0.419,0.738,0.311,676059
220,Henry Davis,PIT,R,OF,OF,108,402,347,46.3,12.4,46.0,7.6,84.1,54.5,15.8,1.4,139.8,93.7,43.7,7.6,2.8,1.5,3.4,0.242,0.337,0.403,0.740,0.294,680779
221,Jesus Sanchez,MIA,L,OF,OF,113,401,358,47.9,15.4,50.6,2.8,89.9,57.4,14.6,2.5,155.7,103.4,35.2,3.6,2.8,1.5,1.2,0.251,0.320,0.435,0.756,0.308,660821
222,Kyle Isbel,KC,L,OF,OF,118,401,360,47.2,9.4,44.3,11.2,89.9,58.1,19.9,2.4,142.9,86.0,29.1,4.0,3.1,3.0,3.8,0.249,0.307,0.396,0.703,0.300,664728
223,Chris Taylor,LAD,R,SS/3B/ OF,SS/3B/ OF,111,400,348,48.1,11.8,45.5,10.9,79.0,45.4,20.4,1.5,137.6,125.1,40.7,4.8,3.0,2.2,3.2,0.227,0.312,0.395,0.707,0.314,13757
224,Mitch Garver,SEA,R,C,C,107,400,347,49.9,18.7,54.2,1.1,81.3,44.6,17.6,0.5,155.8,104.8,45.1,4.4,2.8,0.9,0.5,0.234,0.327,0.449,0.777,0.277,15161
225,Jackson Merrill,SD,L,SS,SS,115,395,363,43.8,8.3,42.2,7.1,91.1,58.9,22.3,1.5,141.3,61.8,23.1,3.2,3.1,3.2,2.4,0.251,0.297,0.390,0.687,0.280,701538
226,Alex Kirilloff,MIN,L,1B/OF,1B/OF,109,393,351,50.0,13.8,48.2,2.8,92.2,59.0,18.4,1.1,154.1,92.3,31.9,6.4,3.0,2.7,1.0,0.263,0.332,0.439,0.771,0.317,666135
227,Shea Langeliers,OAK,R,C,C,112,389,351,43.5,15.8,47.2,2.8,77.9,44.0,16.1,2.0,145.4,110.2,29.6,3.5,2.9,2.1,1.2,0.222,0.285,0.415,0.699,0.273,669127
228,Tyler Stephenson,CIN,R,C,C,112,388,344,47.7,11.2,45.4,1.9,87.8,54.2,21.2,1.1,145.1,94.9,34.7,4.5,3.0,2.5,0.7,0.255,0.327,0.422,0.749,0.318,663886
229,Rowdy Tellez,PIT,L,1B,1B,104,387,342,47.7,17.2,52.7,1.2,84.1,48.9,17.0,1.0,154.7,81.8,38.5,3.1,2.9,1.6,0.6,0.246,0.325,0.453,0.778,0.272,15679
230,Luke Raley,SEA,L,1B/OF,1B/OF,107,387,341,45.2,15.5,48.5,8.1,78.6,44.9,16.9,1.3,144.4,122.0,29.4,12.1,2.9,1.6,3.2,0.231,0.310,0.424,0.733,0.306,670042
231,Will Benson,CIN,L,OF,OF,115,386,322,50.2,12.4,44.2,12.9,73.1,41.5,15.6,3.6,133.1,115.6,53.2,4.2,3.1,3.0,4.6,0.227,0.339,0.413,0.751,0.308,666181
232,Wilyer Abreu,BOS,L,OF,OF,108,386,330,49.9,13.1,45.4,6.7,80.9,50.3,16.5,1.0,138.7,101.0,47.8,2.7,2.8,2.3,2.6,0.245,0.341,0.420,0.760,0.310,677800
233,Patrick Bailey,SF,S,C,C,105,376,338,37.6,8.8,37.8,1.9,77.4,52.3,15.3,1.0,121.3,97.7,29.1,3.4,3.0,2.7,0.8,0.229,0.292,0.359,0.651,0.292,672275
234,Nick Allen,OAK,R,SS,SS,115,371,336,39.3,5.7,34.0,9.1,80.6,56.8,16.6,1.6,117.5,63.4,26.5,2.6,2.9,3.0,2.9,0.240,0.296,0.350,0.646,0.278,669397
235,Elias Diaz,COL,R,C,C,104,369,336,41.5,10.9,43.8,1.1,86.1,58.8,15.2,1.2,136.4,80.1,25.2,2.6,2.6,1.4,0.5,0.256,0.309,0.405,0.714,0.304,11680
236,Harrison Bader,NYM,R,OF,OF,108,369,337,42.9,10.7,42.7,15.7,82.3,54.2,15.4,2.0,133.7,73.7,23.7,4.2,2.8,2.6,4.7,0.244,0.299,0.397,0.696,0.281,664056
237,Kevin Kiermaier,TOR,L,OF,OF,111,368,333,42.9,7.9,39.6,8.9,80.7,52.4,17.1,3.4,128.2,86.7,26.9,3.7,2.7,2.3,2.8,0.243,0.302,0.386,0.688,0.303,11038
238,Davis Schneider,TOR,R,2B,2B,101,368,312,46.0,13.0,44.2,3.9,72.1,39.4,18.6,1.1,131.8,98.8,47.3,4.4,2.7,1.6,1.6,0.231,0.336,0.422,0.758,0.291,676914
239,Avisail Garcia,MIA,R,OF,OF,104,365,332,39.1,11.2,40.5,4.3,79.1,54.7,12.0,1.2,127.0,103.0,24.1,5.1,2.7,1.8,1.7,0.238,0.296,0.383,0.679,0.309,5760
240,Danny Jansen,TOR,R,C,C,101,364,321,46.1,17.1,50.3,1.4,75.0,40.0,17.4,0.4,144.7,75.3,31.7,6.4,2.8,2.3,0.6,0.234,0.311,0.451,0.761,0.250,16535
241,Myles Straw,CLE,R,OF,OF,108,364,324,38.4,2.0,29.4,15.0,80.7,60.5,16.4,1.7,106.6,65.5,32.9,1.9,2.8,2.9,3.6,0.249,0.317,0.329,0.645,0.303,664702
242,Eddie Rosario,WSH,L,OF,OF,105,363,332,40.3,11.8,43.4,4.2,83.1,52.2,17.5,1.6,139.1,79.8,24.0,1.8,2.7,1.8,1.7,0.250,0.300,0.418,0.718,0.293,12155
243,Michael A. Taylor,PIT,R,OF,OF,105,361,327,39.7,11.3,39.6,7.6,76.3,51.6,12.0,1.4,124.8,102.8,25.7,3.1,2.9,2.8,2.7,0.233,0.292,0.382,0.673,0.301,11489
244,Mark Vientos,NYM,R,DH,1B/3B,100,361,325,44.3,16.8,50.0,1.2,79.0,46.7,14.4,1.1,145.9,99.0,28.9,3.7,2.8,2.0,0.6,0.243,0.309,0.449,0.758,0.293,668901
245,Elehuris Montero,COL,R,1B,1B/3B,101,360,326,44.0,16.1,50.1,1.5,83.2,51.6,13.9,1.5,148.5,100.5,23.6,5.0,2.7,1.8,0.6,0.255,0.310,0.456,0.766,0.316,660707
246,Victor Robles,WSH,R,OF,OF,111,358,319,40.6,7.3,36.3,13.9,77.9,51.6,17.1,1.9,120.6,82.8,25.5,7.8,2.8,2.9,4.1,0.244,0.311,0.378,0.689,0.305,645302
247,Jared Triolo,PIT,R,3B,1B/2B/ 3B,101,358,313,38.1,4.6,32.0,7.2,78.3,56.3,16.0,1.5,111.0,90.2,37.7,3.1,2.7,2.0,2.7,0.250,0.333,0.355,0.687,0.333,669707
248,Ryan Jeffers,MIN,R,C,C,103,356,313,43.9,14.3,44.1,2.7,72.3,42.8,13.8,1.5,131.8,98.2,34.6,5.0,2.8,2.7,1.2,0.232,0.314,0.422,0.736,0.286,680777
249,Tommy Edman,STL,S,2B/SS/ OF,2B/SS/ OF,96,355,321,44.3,7.9,38.8,17.2,84.7,56.8,18.0,2.0,130.4,58.1,24.6,3.6,2.5,2.9,3.8,0.264,0.318,0.407,0.725,0.299,669242
250,Joey Gallo,WSH,L,1B/OF,1B/OF,97,354,296,42.6,16.6,42.9,2.5,57.0,28.4,10.9,1.0,119.7,133.3,50.4,3.2,2.8,1.5,0.9,0.192,0.312,0.405,0.717,0.272,14128
251,Isiah Kiner-Falefa,TOR,R,3B/OF,3B/OF,101,351,319,38.8,4.9,33.9,12.5,83.0,60.2,17.0,0.9,116.4,57.0,22.3,4.3,2.8,2.5,4.1,0.260,0.312,0.364,0.676,0.300,643396
252,Whit Merrifield,PHI,R,2B/OF,2B/OF,100,346,318,40.1,6.8,35.6,13.3,81.5,57.6,16.6,0.5,119.6,59.5,21.9,2.1,2.4,2.3,3.9,0.256,0.305,0.376,0.682,0.294,11281
253,Gio Urshela,DET,R,1B/3B,1B/SS/ 3B,97,342,313,37.3,7.6,38.2,2.4,85.7,61.7,14.6,1.8,126.6,62.1,21.1,2.4,2.7,2.3,1.1,0.274,0.320,0.404,0.724,0.317,10681
254,Jason Heyward,LAD,L,OF,OF,97,342,304,42.3,10.9,42.3,3.0,76.4,47.4,17.4,0.6,127.8,65.3,29.2,3.8,2.7,2.4,1.2,0.251,0.319,0.421,0.740,0.284,4940
255,Luis Urias,SEA,R,2B,2B/3B,97,341,293,40.1,10.2,37.0,2.0,67.1,40.3,16.0,0.6,114.9,76.4,37.0,7.2,2.5,1.9,0.9,0.230,0.326,0.392,0.718,0.273,649966
256,Jo Adell,LAA,R,OF,OF,97,340,309,40.1,15.1,44.9,5.6,69.0,37.9,14.6,1.3,131.6,111.2,23.4,4.1,2.5,1.5,2.2,0.223,0.283,0.427,0.710,0.291,666176
257,Nicky Lopez,CHW,L,2B/3B,2B/SS/ 3B,99,338,301,35.8,2.3,27.0,8.9,73.9,55.9,13.6,2.2,98.8,51.9,28.3,3.7,2.7,2.6,3.0,0.246,0.313,0.329,0.642,0.288,670032
258,Johan Rojas,PHI,R,OF,OF,102,338,311,37.9,6.4,35.8,17.7,78.5,53.9,15.8,2.4,118.4,69.7,18.2,4.0,2.6,2.7,4.9,0.253,0.297,0.381,0.679,0.303,679032
259,Aaron Hicks,LAA,S,OF,OF,97,337,286,39.8,8.5,34.9,5.2,66.6,45.2,11.6,1.3,106.4,80.7,43.7,2.9,2.5,1.8,1.9,0.233,0.336,0.372,0.707,0.291,5297
260,Connor Wong,BOS,R,C,C,103,337,307,39.8,9.8,38.7,6.1,72.8,45.8,16.0,1.2,120.7,99.6,20.7,3.7,2.6,2.7,2.0,0.237,0.289,0.393,0.682,0.315,657136
261,Dominic Fletcher,CHW,L,OF,OF,99,335,303,36.5,7.6,34.0,3.8,73.3,47.8,15.8,2.1,116.0,82.5,24.6,3.7,2.3,1.3,1.8,0.242,0.303,0.383,0.686,0.305,666150
262,Ryan O’Hearn,BAL,L,1B/OF,1B/OF,92,332,305,39.8,13.3,46.1,2.7,78.6,47.9,16.3,1.0,136.9,80.3,19.4,3.3,2.6,1.1,1.2,0.257,0.305,0.449,0.754,0.305,656811
263,Gabriel Arias,CLE,R,1B/SS,1B/SS/ 3B/OF,94,332,297,36.9,10.7,38.2,4.3,71.7,44.7,15.5,0.9,121.0,89.6,27.0,3.4,2.6,2.4,1.9,0.242,0.308,0.407,0.715,0.306,672356
264,Marco Luciano,SF,R,SS,SS,102,332,295,36.0,9.4,33.5,2.9,64.1,43.2,10.8,0.8,104.7,103.0,30.4,2.5,2.5,1.9,1.2,0.217,0.292,0.354,0.646,0.295,682617
265,Yan Gomes,CHC,R,C,C,98,330,304,37.3,9.3,37.4,1.8,76.7,52.6,13.6,1.2,120.6,64.4,16.1,4.9,2.5,2.4,0.6,0.253,0.297,0.397,0.694,0.290,9627
266,Sean Bouchard,COL,R,OF,OF,97,327,281,43.2,12.4,41.2,6.0,71.9,43.8,13.9,1.9,126.6,87.2,37.1,3.4,2.4,1.9,2.4,0.256,0.343,0.450,0.794,0.324,656248
267,Dylan Carlson,STL,S,OF,OF,90,326,283,41.7,8.8,36.7,3.2,72.6,45.3,16.8,1.7,119.2,62.5,33.1,5.2,2.5,2.4,1.3,0.257,0.340,0.421,0.761,0.298,666185
268,Rene Pinto,TB,R,C,C,98,317,293,37.6,11.7,38.6,2.4,66.1,38.4,15.2,0.8,118.1,97.3,16.1,2.8,2.5,2.5,0.8,0.226,0.268,0.403,0.671,0.292,650907
269,Liover Peguero,PIT,R,2B/SS,2B/SS,93,315,289,34.2,8.2,34.0,9.6,71.3,48.8,12.8,1.6,111.7,71.6,20.1,2.2,2.4,2.5,3.0,0.247,0.297,0.387,0.684,0.298,678894
270,Stone Garrett,WSH,R,OF,OF,89,313,285,34.7,12.2,39.7,4.8,66.9,39.1,15.0,0.7,119.8,91.5,21.5,2.8,2.3,1.4,1.8,0.235,0.291,0.420,0.712,0.298,656448
271,Tyrone Taylor,NYM,R,OF,OF,96,311,285,38.9,11.7,38.8,6.4,67.0,39.6,14.3,1.4,119.2,73.7,17.9,4.9,2.4,2.1,2.1,0.235,0.288,0.418,0.707,0.274,621438
272,Jake Rogers,DET,R,C,C,91,309,278,35.0,13.3,37.8,2.8,59.0,35.2,9.7,0.8,110.3,97.6,23.8,2.8,2.4,2.4,1.0,0.213,0.277,0.397,0.674,0.270,668670
273,Darell Hernaiz,OAK,R,SS,SS,92,308,281,31.4,4.3,28.0,5.2,69.7,49.1,15.1,1.2,100.1,53.6,19.6,2.7,2.3,1.9,2.0,0.248,0.299,0.356,0.655,0.290,687231
274,Matt Vierling,DET,R,3B/OF,3B/OF,86,307,275,33.7,6.7,32.2,5.9,70.2,49.5,11.4,2.5,106.7,63.9,25.1,3.1,2.3,1.9,2.3,0.255,0.321,0.389,0.710,0.308,663837
