#,Name,Team,Bats,ESPN,YAHOO,G,PA,AB,R,HR,RBI,SB,H,1B,2B,3B,TB,SO,BB,HBP,SF,SH,CS,AVG,OBP,SLG,OPS,BABIP,RazzID
758,Mark Mathias,CIN,R,DH,2B,9,24,21,2.7,0.6,2.5,0.4,5.0,3.1,1.3,0.0,8.0,6.8,2.4,0.3,0.2,0.2,0.2,0.234,0.315,0.377,0.691,0.313,664029
759,Taylor Kohlwey,NYM,L,OF,OF,9,24,21,2.6,0.4,2.2,0.4,4.8,3.2,1.1,0.1,7.2,5.8,2.4,0.3,0.2,0.1,0.2,0.226,0.311,0.339,0.651,0.291,670128
760,Tim Elko,CHW,R,1B,1B,9,24,23,2.7,0.9,2.9,0.1,5.2,3.1,1.1,0.1,9.2,7.9,1.1,0.2,0.2,0.2,0.0,0.230,0.268,0.405,0.673,0.306,671284
761,Wes Clarke,MIL,R,C,C,9,24,21,2.8,0.8,2.5,0.2,4.1,2.4,0.9,0.0,7.4,7.9,2.9,0.3,0.2,0.2,0.1,0.199,0.305,0.361,0.666,0.273,682265
762,Bryan Ramos,CHW,R,3B,3B,9,24,22,2.8,0.8,2.7,0.2,5.0,3.0,1.0,0.1,8.6,5.9,1.8,0.3,0.2,0.2,0.1,0.227,0.291,0.392,0.683,0.269,682868
763,Ehire Adrianza,LAA,S,3B,2B/3B,9,24,21,2.6,0.4,2.2,0.3,4.8,3.3,1.0,0.1,7.1,5.2,2.0,0.3,0.2,0.2,0.1,0.226,0.296,0.332,0.628,0.279,8418
764,Rafael Ortega,CHW,L,OF,OF,9,23,20,2.7,0.6,2.3,0.7,4.6,3.0,1.0,0.0,7.4,5.3,2.6,0.2,0.2,0.2,0.3,0.229,0.315,0.366,0.680,0.279,10323
765,Charles Leblanc,LAA,R,2B,2B/3B,8,20,18,2.2,0.5,2.1,0.2,4.0,2.6,0.8,0.1,6.4,6.3,2.0,0.2,0.1,0.1,0.1,0.226,0.306,0.365,0.671,0.315,641779
766,Connor Norby,BAL,R,2B,2B,8,20,18,2.4,0.5,2.3,0.2,4.6,3.1,0.9,0.1,7.2,4.4,1.5,0.2,0.2,0.1,0.1,0.253,0.312,0.400,0.713,0.304,681393
767,Logan Driscoll,TB,L,C,C,8,20,18,2.0,0.4,1.9,0.1,3.9,2.5,0.9,0.1,6.1,5.8,1.3,0.3,0.2,0.1,0.1,0.213,0.272,0.335,0.607,0.286,686482
768,Liam Hicks,TEX,L,C,C,8,20,17,2.4,0.3,1.9,0.2,4.0,2.7,0.9,0.1,6.1,4.5,2.4,0.3,0.2,0.1,0.1,0.232,0.331,0.349,0.680,0.291,689414
769,Pedro Leon,HOU,R,OF,OF,8,20,18,2.2,0.5,2.0,0.7,3.5,2.2,0.8,0.1,5.9,7.0,1.8,0.3,0.2,0.1,0.3,0.195,0.276,0.330,0.606,0.281,694175
770,Niko Kavadas,BOS,L,1B,1B,8,20,17,2.4,0.7,2.1,0.1,3.3,1.9,0.7,0.0,6.0,7.6,2.7,0.3,0.2,0.1,0.0,0.196,0.311,0.358,0.670,0.301,694359
771,Chris Okey,LAD,R,C,C,7,17,16,1.9,0.4,1.8,0.2,3.3,2.2,0.6,0.1,5.3,5.0,1.1,0.2,0.1,0.1,0.1,0.209,0.264,0.337,0.601,0.274,608360
772,Tristan Gray,MIA,L,2B,2B,7,17,15,1.8,0.6,1.9,0.1,3.1,1.9,0.5,0.0,5.6,5.4,1.0,0.2,0.1,0.1,0.0,0.203,0.258,0.362,0.620,0.266,656484
773,Trey Cabbage,HOU,L,OF,1B/OF,7,17,16,2.1,0.7,2.1,0.5,3.4,2.1,0.6,0.1,6.2,6.5,1.2,0.2,0.1,0.1,0.2,0.217,0.274,0.395,0.669,0.313,663550
774,Connor Kaiser,COL,R,SS,SS,7,17,15,1.7,0.3,1.6,0.4,3.1,2.1,0.6,0.1,4.9,5.0,1.4,0.1,0.1,0.1,0.1,0.206,0.275,0.326,0.602,0.282,663731
775,Rylan Bannon,NYM,R,3B,3B,7,17,15,1.8,0.4,1.6,0.3,2.8,1.8,0.5,0.1,4.8,5.0,1.9,0.2,0.1,0.1,0.1,0.192,0.287,0.323,0.611,0.252,676625
776,Paul McIntosh,MIA,R,C,C,7,17,15,1.9,0.4,1.7,0.2,3.2,2.1,0.6,0.0,5.2,4.5,1.6,0.2,0.1,0.1,0.1,0.215,0.297,0.351,0.648,0.276,682192
777,Victor Mesa Jr.,MIA,L,OF,OF,7,17,15,1.7,0.4,1.6,0.2,3.5,2.4,0.6,0.1,5.3,4.1,1.1,0.1,0.1,0.1,0.1,0.224,0.276,0.344,0.620,0.278,683748
778,Roman Anthony,BOS,L,OF,OF,7,17,15,2.0,0.4,1.7,0.2,3.4,2.2,0.8,0.1,5.5,4.9,1.8,0.2,0.1,0.1,0.1,0.231,0.316,0.366,0.682,0.313,701350
779,Matt Shaw,CHC,R,SS,SS,7,17,16,1.9,0.4,1.9,0.4,4.2,2.9,0.8,0.1,6.4,3.1,0.8,0.2,0.1,0.1,0.2,0.264,0.303,0.406,0.709,0.304,807713
780,Ronaldo Hernandez,ARI,R,C,C,7,15,14,1.7,0.4,1.6,0.1,3.2,2.1,0.7,0.0,5.2,3.3,1.0,0.2,0.1,0.1,0.0,0.236,0.292,0.379,0.671,0.278,660613
781,Payton Henry,TOR,R,C,C,7,15,14,1.7,0.4,1.5,0.1,3.1,2.0,0.6,0.0,4.8,4.1,1.0,0.3,0.1,0.1,0.0,0.227,0.286,0.357,0.642,0.295,668721
782,Phillip Evans,ATL,R,1B/OF,1B/3B/ OF,7,14,13,1.7,0.2,1.4,0.1,2.9,2.1,0.5,0.0,4.2,2.9,1.4,0.2,0.1,0.1,0.0,0.231,0.313,0.335,0.648,0.280,595943
783,David Bote,CHC,R,2B,2B/3B,6,14,12,1.5,0.3,1.4,0.1,2.8,1.8,0.6,0.0,4.3,3.7,1.2,0.2,0.1,0.1,0.0,0.222,0.295,0.349,0.643,0.287,623520
784,Lewin Diaz,WSH,L,1B,1B,6,14,12,1.6,0.5,1.7,0.1,2.8,1.6,0.7,0.0,5.1,3.3,1.1,0.1,0.1,0.1,0.0,0.231,0.299,0.419,0.718,0.270,650331
785,Daz Cameron,OAK,R,OF,OF,7,14,12,1.4,0.3,1.3,0.3,2.7,1.7,0.6,0.0,4.4,3.7,1.0,0.2,0.1,0.1,0.1,0.221,0.287,0.362,0.649,0.284,663662
786,Peyton Burdick,CHW,R,OF,OF,6,14,12,1.6,0.5,1.5,0.2,2.4,1.2,0.6,0.0,4.6,5.0,1.4,0.2,0.1,0.1,0.1,0.200,0.289,0.388,0.677,0.283,680814
787,Agustin Ramirez,NYY,R,C,C,6,14,13,1.6,0.4,1.6,0.1,2.9,1.9,0.6,0.0,4.7,3.1,1.1,0.1,0.1,0.1,0.1,0.230,0.293,0.369,0.662,0.272,682663
788,Tsung-Che Cheng,PIT,L,SS,SS,6,14,13,1.5,0.2,1.3,0.3,3.0,2.0,0.7,0.1,4.5,2.9,1.0,0.1,0.1,0.1,0.1,0.237,0.299,0.357,0.655,0.291,691907
789,Yonny Hernandez,MIL,S,3B,2B/3B,6,13,11,1.3,0.1,0.9,0.6,2.3,1.8,0.4,0.1,3.1,3.3,1.6,0.2,0.1,0.1,0.2,0.206,0.309,0.278,0.587,0.280,660634
790,Israel Pineda,WSH,R,C,C,6,13,12,1.3,0.3,1.3,0.1,2.4,1.5,0.5,0.0,4.0,3.4,0.8,0.1,0.1,0.1,0.0,0.206,0.256,0.341,0.597,0.258,672832
791,Brock WIlken,MIL,R,3B,3B,6,13,12,1.2,0.3,1.1,0.1,2.2,1.6,0.4,0.0,3.5,3.9,1.1,0.1,0.1,0.1,0.0,0.192,0.265,0.301,0.566,0.260,694385
792,Chase Strumpf,CHC,R,2B,2B,5,11,9,1.2,0.3,1.1,0.1,1.9,1.2,0.4,0.0,3.2,3.9,1.2,0.2,0.1,0.1,0.0,0.198,0.296,0.338,0.634,0.293,668664
